Daily_Date,Open,Close,High,Low,Volume (BTC),Volume (USD),candlestick_pattern,candlestick_match_count
2013-03-13,40.0,67.8,111.6,40.0,17.200000000000003,877.1,CDLBELTHOLD_Bull,1.0
2013-03-14,51.3,70.3,70.3,48.2,6.9,375.0,CDLCLOSINGMARUBOZU_Bull,2.0
2013-03-15,48.4,49.5,71.0,47.8,62.400000000000006,3111.2,CDLINVERTEDHAMMER_Bull,4.0
2013-03-16,70.5,48.4,70.5,48.1,26.4,1517.0,CDLCLOSINGMARUBOZU_Bear,4.0
2013-03-17,50.0,70.5,70.5,40.0,33.9,1634.7,CDLCLOSINGMARUBOZU_Bull,2.0
2013-03-18,50.0,49.8,50.4,46.4,111.8,5596.900000000001,CDLRICKSHAWMAN_Bull,7.0
2013-03-19,58.5,50.0,82.4,50.0,76.9,4844.4,CDLMATCHINGLOW_Bull,2.0
2013-03-20,65.6,58.5,65.6,58.5,8.0,520.0,CDLSHORTLINE_Bear,1.0
2013-03-21,78.4,51.3,81.7,50.0,82.0,6442.0,CDLCLOSINGMARUBOZU_Bear,4.0
2013-03-22,83.3,78.4,106.3,76.9,28.9,2255.1,NO_PATTERN,0.0
2013-03-23,73.7,83.3,83.3,73.7,0.5,40.0,CDLSHORTLINE_Bull,1.0
2013-03-24,97.9,73.7,98.8,68.2,16.9,1270.6,CDLBELTHOLD_Bear,1.0
2013-03-25,81.5,75.0,84.3,62.8,13.0,1081.1,CDLHOMINGPIGEON_Bull,2.0
2013-03-26,75.0,81.5,84.7,65.6,13.1,1000.8,CDLUNIQUE3RIVER_Bull,1.0
2013-03-27,101.7,75.0,103.0,48.2,43.9,3677.5,CDLBELTHOLD_Bear,1.0
2013-03-28,103.6,101.7,103.9,84.7,36.2,3519.1,CDLLONGLEGGEDDOJI_Bull,5.0
2013-03-29,97.1,85.8,132.7,85.8,21.9,2023.3,CDLINVERTEDHAMMER_Bull,1.0
2013-03-30,98.8,132.7,138.0,86.1,14.0,1414.2,NO_PATTERN,0.0
2013-03-31,107.9,100.7,140.0,89.0,37.1,3808.6,CDLHARAMI_Bear,2.0
2013-04-01,141.0,107.9,150.0,94.9,35.9,4052.3,NO_PATTERN,0.0
2013-04-02,108.6,141.0,162.0,95.3,23.8,2865.4,NO_PATTERN,0.0
2013-04-03,149.0,108.6,162.0,104.0,89.4,13351.9,NO_PATTERN,0.0
2013-04-04,145.2,129.6,178.1,94.0,237.6,25633.8,CDLHOMINGPIGEON_Bull,4.0
2013-04-05,139.7,139.7,213.9,100.7,31.3,4698.6,CDLLONGLEGGEDDOJI_Bull,5.0
2013-04-06,160.6,137.4,160.7,100.0,15.4,2271.7,CDLBELTHOLD_Bear,2.0
2013-04-07,183.8,143.4,183.8,143.4,7.199999999999999,1254.1,CDLCLOSINGMARUBOZU_Bear,4.0
2013-04-08,149.0,183.8,214.2,100.7,124.2,19731.5,NO_PATTERN,0.0
2013-04-09,214.5,210.7,268.4,190.0,117.6,26909.5,CDLRICKSHAWMAN_Bull,6.0
2013-04-10,241.8,246.4,396.4,201.5,32.8,8756.4,CDLLONGLEGGEDDOJI_Bull,4.0
2013-04-11,105.0,201.5,335.9,105.0,102.2,11376.4,CDLBELTHOLD_Bull,1.0
2013-04-12,150.0,159.4,262.9,85.7,178.9,18406.3,CDLRICKSHAWMAN_Bull,7.0
2013-04-13,150.0,111.8,224.4,103.9,121.3,22976.1,CDLCLOSINGMARUBOZU_Bear,1.0
2013-04-14,150.0,150.0,150.0,150.0,7.5,1125.0,CDLDOJI_Bull,2.0
2013-04-15,135.2,150.0,201.3,100.1,40.8,4784.799999999999,CDLHIGHWAVE_Bull,2.0
2013-04-16,102.8,135.2,246.4,81.0,163.6,19439.2,NO_PATTERN,0.0
2013-04-17,105.3,102.8,141.4,66.2,33.5,3938.1,CDLRICKSHAWMAN_Bull,6.0
2013-04-18,107.5,103.4,210.7,87.0,41.8,4933.3,CDLMATCHINGLOW_Bull,5.0
2013-04-19,139.3,119.6,205.7,87.0,47.6,6159.1,CDLSPINNINGTOP_Bear,1.0
2013-04-20,136.1,115.2,136.1,115.2,12.1,1499.2,CDLMATCHINGLOW_Bull,2.0
2013-04-21,137.5,136.1,137.5,136.1,3.6,500.0,CDLHIKKAKE_Bear,3.0
2013-04-22,135.9,137.5,143.8,97.7,34.8,4643.0,CDLLONGLEGGEDDOJI_Bull,8.0
2013-04-23,156.2,135.9,194.5,114.7,46.7,7691.200000000001,NO_PATTERN,0.0
2013-04-24,150.5,153.4,179.7,97.7,41.2,6078.2,CDLLONGLEGGEDDOJI_Bull,6.0
2013-04-25,136.1,154.0,170.5,136.1,20.1,3150.1,CDLBELTHOLD_Bull,2.0
2013-04-26,144.1,156.9,214.7,116.7,19.9,2773.5,NO_PATTERN,0.0
2013-04-27,142.2,144.1,203.9,142.2,11.0,1637.2,CDLLONGLEGGEDDOJI_Bull,3.0
2013-04-28,128.5,142.2,160.0,116.7,20.6,2851.4,CDLHIKKAKE_Bull,2.0
2013-04-29,151.4,122.1,166.1,108.0,19.8,3151.1,CDLENGULFING_Bear,2.0
2013-04-30,136.8,218.1,255.4,114.3,33.6,5196.299999999999,CDLHIKKAKE_Bull,1.0
