candlestick_pattern,total_appearances,1_days_later_ratio,3_days_later_ratio,5_days_later_ratio,8_days_later_ratio,13_days_later_ratio
CDLHARAMI_Bear,3.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
CDLSEPARATINGLINES_Bear,6.0,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.2222222222222222
CDLENGULFING_Bull,4.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333
CDLINVERTEDHAMMER_Bull,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
CDLSHORTLINE_Bear,118.0,0.6413043478260869,0.5380434782608695,0.5054347826086957,0.5108695652173914,0.5380434782608695
CDLHIGHWAVE_Bull,27.0,0.627906976744186,0.4186046511627907,0.4186046511627907,0.6046511627906976,0.46511627906976744
CDLLONGLINE_Bear,34.0,0.6181818181818182,0.45454545454545453,0.6181818181818182,0.4727272727272727,0.4727272727272727
CDLHIKKAKEMOD_Bear,3.0,0.6,0.8,0.4,0.8,0.2
CDLHIGHWAVE_Bear,27.0,0.6,0.5555555555555556,0.5111111111111111,0.5777777777777777,0.35555555555555557
CDLHIKKAKE_Bull,80.0,0.5673758865248227,0.5106382978723404,0.5673758865248227,0.44680851063829785,0.5035460992907801
CDLCLOSINGMARUBOZU_Bull,64.0,0.5565217391304348,0.45217391304347826,0.5130434782608696,0.5652173913043478,0.5565217391304348
CDLADVANCEBLOCK_Bear,22.0,0.55,0.675,0.6,0.375,0.425
CDLSEPARATINGLINES_Bull,6.0,0.5454545454545454,0.2727272727272727,0.7272727272727273,0.6363636363636364,0.8181818181818182
CDLSPINNINGTOP_Bull,64.0,0.5423728813559322,0.4830508474576271,0.5338983050847458,0.5847457627118644,0.6186440677966102
CDLBELTHOLD_Bull,152.0,0.5371024734982333,0.5406360424028268,0.5335689045936396,0.5017667844522968,0.5441696113074205
CDLBELTHOLD_Bear,105.0,0.525,0.495,0.55,0.495,0.58
CDLMATCHINGLOW_Bull,55.99999999999999,0.5233644859813084,0.45794392523364486,0.5046728971962616,0.5514018691588785,0.4672897196261682
CDLHAMMER_Bull,34.0,0.5230769230769231,0.5846153846153846,0.5076923076923077,0.5692307692307692,0.5846153846153846
NO_PATTERN,489.00000000000006,0.5152792413066386,0.5310853530031612,0.5131717597471022,0.5279241306638567,0.5321390937829295
CDLLONGLEGGEDDOJI_Bull,85.0,0.5,0.5529411764705883,0.4823529411764706,0.49411764705882355,0.45294117647058824
CDLRICKSHAWMAN_Bull,227.0,0.5,0.5044052863436124,0.513215859030837,0.5154185022026432,0.460352422907489
CDLCLOSINGMARUBOZU_Bear,60.0,0.49586776859504134,0.4628099173553719,0.47107438016528924,0.5041322314049587,0.4793388429752066
CDLSPINNINGTOP_Bear,68.0,0.4927536231884058,0.5,0.4927536231884058,0.4782608695652174,0.45652173913043476
CDLSHORTLINE_Bull,100.0,0.45871559633027525,0.5275229357798165,0.481651376146789,0.5596330275229358,0.536697247706422
CDLENGULFING_Bear,5.0,0.45454545454545453,0.7272727272727273,0.36363636363636365,0.45454545454545453,0.8181818181818182
CDLDOJI_Bull,4.0,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.6666666666666666
CDLLONGLINE_Bull,43.0,0.4387755102040816,0.5612244897959183,0.6326530612244898,0.40816326530612246,0.5408163265306123
CDLHIKKAKE_Bear,60.0,0.43795620437956206,0.5620437956204379,0.5255474452554745,0.49635036496350365,0.5547445255474452
CDLIDENTICAL3CROWS_Bear,3.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.5714285714285714
CDL3OUTSIDE_Bear,5.0,0.4166666666666667,0.25,0.5833333333333334,0.5833333333333334,0.3333333333333333
CDLHOMINGPIGEON_Bull,2.0,0.4,0.2,0.4,0.6,0.6
CDLHARAMI_Bull,2.0,0.4,0.6,0.4,0.4,0.4
CDLHIKKAKEMOD_Bull,1.0,0.25,0.25,0.75,0.25,0.5
CDL3OUTSIDE_Bull,1.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857
CDLHANGINGMAN_Bear,1.0,0.1,0.4,0.5,0.7,0.4
CDLSHOOTINGSTAR_Bear,0.0,0.0,0.0,0.0,1.0,0.0
CDLGAPSIDESIDEWHITE_Bull,0.0,0.0,0.0,1.0,1.0,0.0
CDL3WHITESOLDIERS_Bull,0.0,0.0,0.0,1.0,0.0,0.0
CDLSTALLEDPATTERN_Bear,0.0,0.0,1.0,1.0,1.0,1.0
CDLTRISTAR_Bull,0.0,0.0,1.0,0.0,1.0,0.0
CDL3INSIDE_Bull,0.0,0.0,0.0,1.0,1.0,0.0
